[2026-05-24T13:26:07.876Z] GET https://fonts.googleapis.com/css2?family=Cormorant+Garamond:ital,wght@0,300;0,400;0,600;1,300;1,400&family=DM+Sans:wght@300;400;500;600&display=swap → 200 (?ms, 13594B)
[2026-05-24T13:26:07.892Z] GET https://fonts.gstatic.com/s/cormorantgaramond/v21/co3ZmX5slCNuHLi8bLeY9MK7whWMhyjYrEtImSo.woff2 → 200 (?ms, ?B)
[2026-05-24T13:26:07.892Z] GET https://fonts.gstatic.com/s/cormorantgaramond/v21/co3bmX5slCNuHLi8bLeY9MK7whWMhyjYqXtK.woff2 → 200 (?ms, ?B)
[2026-05-24T13:26:07.893Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Yp2ywxg089UriI5-g4vlH9VoD8Cmcqbu0-K4.woff2 → 200 (?ms, ?B)
[2026-05-24T13:26:07.893Z] GET https://onlinekurs.faszienpraxis-fech.de/brand/fech-logo-white.svg → 304 (35ms, ?B)
[2026-05-24T13:26:07.893Z] GET https://onlinekurs.faszienpraxis-fech.de/_next/image?url=%2Fcourses%2Fmanuelle-techniken-cover.jpg&w=640&q=75 → 200 (463ms, 36988B)
[2026-05-24T13:26:08.139Z] GET https://onlinekurs.faszienpraxis-fech.de/?_rsc=WHHK5oHJ1-p8EtRW → 200 (77ms, 6548B)
[2026-05-24T13:26:08.139Z] GET https://onlinekurs.faszienpraxis-fech.de/login?_rsc=WHHK5oHJ1-p8EtRW → 200 (89ms, 5893B)
[2026-05-24T13:26:08.139Z] GET https://onlinekurs.faszienpraxis-fech.de/register?_rsc=WHHK5oHJ1-p8EtRW → 200 (92ms, 5734B)
[2026-05-24T13:26:08.218Z] GET https://onlinekurs.faszienpraxis-fech.de/_next/static/chunks/app/(public)/page-ab8c65c96ab38983.js → 200 (?ms, 223B)
[2026-05-24T13:26:08.229Z] GET https://onlinekurs.faszienpraxis-fech.de/_next/static/chunks/2f03f4a8-158b75fb48af17d1.js → 200 (?ms, 59062B)
[2026-05-24T13:26:08.229Z] GET https://onlinekurs.faszienpraxis-fech.de/_next/static/chunks/6669-69475ca7c8918c3a.js → 200 (?ms, 180354B)
[2026-05-24T13:26:08.229Z] GET https://onlinekurs.faszienpraxis-fech.de/_next/static/chunks/app/(public)/login/page-370d8955196930b4.js → 200 (1ms, 3104B)
[2026-05-24T13:26:08.233Z] GET https://onlinekurs.faszienpraxis-fech.de/_next/static/chunks/app/(public)/register/page-98612ed8383af695.js → 200 (?ms, 4089B)
[2026-05-24T13:26:36.126Z] GET https://onlinekurs.faszienpraxis-fech.de/kurse/fachkurs → 200 (477ms, 45681B)
[2026-05-24T13:26:36.606Z] GET https://onlinekurs.faszienpraxis-fech.de/brand/fech-logo-full-color.svg → 304 (55ms, ?B)
[2026-05-24T13:26:36.606Z] GET https://onlinekurs.faszienpraxis-fech.de/_next/static/css/e28531bd46066088.css → 200 (?ms, 39728B)
[2026-05-24T13:26:36.622Z] GET https://onlinekurs.faszienpraxis-fech.de/_next/static/chunks/webpack-d282787ed3063711.js → 200 (3ms, 3849B)
[2026-05-24T13:26:36.625Z] GET https://onlinekurs.faszienpraxis-fech.de/_next/static/chunks/4bd1b696-f785427dddbba9fb.js → 200 (?ms, 173020B)
[2026-05-24T13:26:36.625Z] GET https://onlinekurs.faszienpraxis-fech.de/_next/static/chunks/1255-54db5ed0e8936ec8.js → 200 (?ms, 173372B)
[2026-05-24T13:26:36.626Z] GET https://onlinekurs.faszienpraxis-fech.de/_next/static/chunks/main-app-5eb0d9c55a395822.js → 200 (?ms, 560B)
[2026-05-24T13:26:36.626Z] GET https://onlinekurs.faszienpraxis-fech.de/_next/static/chunks/app/layout-3893764c94d441da.js → 200 (?ms, 9671B)
[2026-05-24T13:26:36.626Z] GET https://onlinekurs.faszienpraxis-fech.de/_next/static/chunks/2619-6352ef9022ea9a44.js → 200 (?ms, 8538B)
[2026-05-24T13:26:36.626Z] GET https://onlinekurs.faszienpraxis-fech.de/_next/static/chunks/app/(public)/kurse/%5Bslug%5D/page-8437dedadfdcc82f.js → 200 (42ms, 198B)
[2026-05-24T13:26:36.626Z] GET https://onlinekurs.faszienpraxis-fech.de/_next/static/chunks/4909-a6ccb82e391d8f86.js → 200 (?ms, 20148B)
[2026-05-24T13:26:36.626Z] GET https://onlinekurs.faszienpraxis-fech.de/_next/static/chunks/1356-3b7aebca09f74df8.js → 200 (?ms, 13553B)
[2026-05-24T13:26:36.626Z] GET https://onlinekurs.faszienpraxis-fech.de/_next/static/chunks/app/(public)/layout-d8f539259ae52c23.js → 200 (?ms, 16584B)
[2026-05-24T13:26:36.627Z] GET https://fonts.googleapis.com/css2?family=Cormorant+Garamond:ital,wght@0,300;0,400;0,600;1,300;1,400&family=DM+Sans:wght@300;400;500;600&display=swap → 200 (?ms, 13594B)
[2026-05-24T13:26:36.660Z] GET https://fonts.gstatic.com/s/cormorantgaramond/v21/co3ZmX5slCNuHLi8bLeY9MK7whWMhyjYrEtImSo.woff2 → 200 (?ms, ?B)
[2026-05-24T13:26:36.661Z] GET https://fonts.gstatic.com/s/cormorantgaramond/v21/co3bmX5slCNuHLi8bLeY9MK7whWMhyjYqXtK.woff2 → 200 (?ms, ?B)
[2026-05-24T13:26:36.661Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Yp2ywxg089UriI5-g4vlH9VoD8Cmcqbu0-K4.woff2 → 200 (?ms, ?B)
[2026-05-24T13:26:36.661Z] GET https://onlinekurs.faszienpraxis-fech.de/brand/fech-logo-white.svg → 304 (31ms, ?B)
[2026-05-24T13:26:36.679Z] GET https://onlinekurs.faszienpraxis-fech.de/?_rsc=DFpJGB5GlOjjdGba → 200 (55ms, 6548B)
[2026-05-24T13:26:36.679Z] GET https://onlinekurs.faszienpraxis-fech.de/kurse?_rsc=DFpJGB5GlOjjdGba → pending (?ms, ?B)
[2026-05-24T13:26:36.679Z] GET https://onlinekurs.faszienpraxis-fech.de/login?_rsc=DFpJGB5GlOjjdGba → 200 (79ms, 5893B)
[2026-05-24T13:26:36.679Z] GET https://onlinekurs.faszienpraxis-fech.de/register?_rsc=DFpJGB5GlOjjdGba → 200 (79ms, 5734B)
[2026-05-24T13:26:36.680Z] GET https://onlinekurs.faszienpraxis-fech.de/checkout/137acbe8-4698-41ed-bb3e-fe9ad3a62fa5?_rsc=DFpJGB5GlOjjdGba → pending (?ms, ?B)
[2026-05-24T13:26:36.736Z] GET https://onlinekurs.faszienpraxis-fech.de/_next/static/chunks/app/(public)/page-ab8c65c96ab38983.js → 200 (?ms, 223B)
[2026-05-24T13:26:36.760Z] GET https://onlinekurs.faszienpraxis-fech.de/_next/static/chunks/2f03f4a8-158b75fb48af17d1.js → 200 (?ms, 59062B)
[2026-05-24T13:26:36.760Z] GET https://onlinekurs.faszienpraxis-fech.de/_next/static/chunks/6669-69475ca7c8918c3a.js → 200 (?ms, 180354B)
[2026-05-24T13:26:36.762Z] GET https://onlinekurs.faszienpraxis-fech.de/_next/static/chunks/app/(public)/login/page-370d8955196930b4.js → 200 (?ms, 3104B)
[2026-05-24T13:26:36.762Z] GET https://onlinekurs.faszienpraxis-fech.de/_next/static/chunks/app/(public)/register/page-98612ed8383af695.js → 200 (1ms, 4089B)
[2026-05-24T13:28:14.038Z] GET https://onlinekurs.faszienpraxis-fech.de/login → 200 (92ms, 19009B)
[2026-05-24T13:28:14.136Z] GET https://onlinekurs.faszienpraxis-fech.de/brand/fech-logo-full-color.svg → 304 (31ms, ?B)
